reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
921895ee-4446-4bda-990b-f42efb7f2946,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Saya sebenarnya kurang setuju dgn pemberlakuan wajib menggunakan e tiket seperti ini karena tdk sesuai untuk para lansia dan org2 tidak mampu yg tdk memiliki android atau keduanya. Ini hanya memudahkan bagi golongan tertentu saja, selain itu, menurut saya aplikasi ini belum matang dan masih banyak terjadi error. Monopoli pembayaran oleh linkAja juga memberatkan, seperti gojek dgn gopay, grab dgn ovo dan KAI dengan linkAja, harus ada brp dompet dibagi2 seperti ini tidak lah efektif. Terimakasih.",5,54,1.6.1.2,2019-09-03 08:32:56,,,1.6.1.2
c4e847dd-5e6b-4980-a9e1-c3f86718e30b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Nice App, Cuman Kadang Sering Error. Kalau Aplikasi dalam tahap pembenahan tolong bisa diinfokan ke media sosialnya juag yaa, agar para user tahu bahwa apknya sedang maintenance atau pembenahan. Yaa untuk ukuran Pengembangan Sudah Cukup Bagus. Sudah Bintang Lima Yaa, Pelayanan Selalu Memuaskan yaa😊",5,0,4.3.3,2021-09-24 06:54:51,,,4.3.3
31c498ea-70cb-4fc7-ae20-8af6225efcbe,Sigit Rahardjo,https://play-lh.googleusercontent.com/a-/ALV-UjVFyDjZusvqStC-QukhY26v1mbksfv09DTBLHUFWHhM8Ga_h9P6xA,"Habis di upgrade malah akun tidak bisa di akses.. sampai perlu penanganan CS, dan akhirnya semua histori hilang... Yuuk PT.KAI tingkatkan aplikasinya yah.. agar tidak terjadi lagi saat upgrade sistem... #sbg pelanggan setia anda 😊",5,35,5.0.5,2022-11-05 08:24:48,Terima kasih telah menggunakan aplikasi KAI Access. Kami akan menjadikan ini sebagai masukan untuk pengembangan produk kami selanjutnya. PT KAI terus berusaha melengkapi dan meningkatkan layanan kami untuk pelanggan setia seperti Anda. Terima kasih telah meluangkan waktu Anda untuk memberikan masukan dan akan kita teruskan ke unit terkait.,2022-05-18 03:38:32,5.0.5
48b504ac-9350-4028-b14a-fa1924665ffc,Muhammad Yusabbi,https://play-lh.googleusercontent.com/a-/ALV-UjX7BFvkB2cOHFrf10kQsGwbo438PYQ4xDSg13-kw2E1iAbd4ufI,dengan access bu Kai semua jadi mudah memesan tiket KA,5,0,6.11.1,2025-03-21 15:49:33,,,6.11.1
25f3ca9c-d93d-40df-97a3-a211ef1df635,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"utk pindah kursi, menngganti nya terlalu lama dan tidak sistematis seperti aplikasi seblm nya.. lebih mudah dalam pemindahan kursi penumpang.. selebih nya, keren.. kereta Api Alternatif Perjalanan terbaik saat ini.",5,0,1.4.8.1,2019-06-04 04:16:47,,,1.4.8.1
1d23543b-4f13-41ff-8c1f-1cc3144e03be,Menik Widiati,https://play-lh.googleusercontent.com/a/ACg8ocIdmXQw5X1hvirXhOoyRXszV0ix6lbxY8BGYVcWQ5c5ET_3Xw=mo,Pelayanan baik menyenangkan perjalanan semua jadi lancar dan selalu mendapatkan tempat duduk tidak berdesak desakan lagi seperti dahulu.datangnya juga tepat waktu.hampir tiap jam ada trayek.,5,0,,2020-11-04 13:42:51,,,
b6dac31a-e1ac-4dab-9115-95d04482197b,Heri Hermawan,https://play-lh.googleusercontent.com/a/ACg8ocLb8f2_zT2Zb293B8rYgL0tRaDsn45boJHrMz94BLjshE86VTY=mo,"Setelah 10 thn, baru 2 minggu lalu sy kembali naik kereta, dan menggunakan aplikasi ini, secara umum bagus dan sgt membantu, awalny terkendala aplikasi tdk bisa dibuka, tp sdh ada jawaban teknis dr KAI dan sy ikuti dan bisa, proses buka akun, verifikasi, login tdk terkendala. Kendala ada d metode pembayaran, yg selalu dikatakan waktu anda habis. Kendala jg kalau penumpang lbh dr 4.",5,5,4.4.4,2021-03-19 06:30:14,,,4.4.4
cc8777c6-b406-4365-8331-617429e0c773,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi ini sudah bagus. Tp saya mau kasih masukan lagi untuk aplikasi ini.. Soal lupa password untuk bisa ditambahin pilihan pengiriman tautan ke no.hp juga jangan cuma email saja. Gimana, Oke gak min? Ini saya ada kasus, saya lupa nama email yg lama yg buat daftar itu apa. Dan skrg saya mau dftar pakai email baru dan no.hp yg lama gak bisa, soalnya no.hp saya yg lama sudah tersimpan di database KAI access.. Atau ada pilihan lain gak min agar bisa tetep pakai no.hp yg lama? Terima kasih.!",5,0,1.1.1.2,2020-04-14 17:48:28,,,1.1.1.2
bbf6ed89-8185-4643-b376-e6e9a0c8eb2e,davin praksa,https://play-lh.googleusercontent.com/a/ACg8ocJBbE_D1n4TmRnVYxfDffEzeUaUznXaKCKmQ_FJ12dps-n1lA=mo,"semenjak ada aplikasi kai access saya sangat mudah untuk berpergian karena bisa langsung pesan tiket lewat aplikasi, tidak usah pergi ke stasiun, karena saya sering berpergian jadi aplikasi ini sangat memudahkan untuk saya",5,0,,2023-11-21 03:24:25,,,
a2ba2ff8-f536-4351-87fa-059cc7b3de75,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi yang keren dan selalu pake ini kalo mau pesen tiket kereta. Tp KENAPA? Kenapa gabisa transfer lewat mbanking atau klikbca? Harus lewat ATM. Bukannya aplikasi ini dibuat supaya bisa pesen tiket dari rumah? Kalo pembayaran hanya bisa dilakukan lewat ATM sama aja harus pergi. Gak ada lewat virtual account gitu? Biar mudah,5,24,1.5.1.3,2019-08-12 16:31:10,,,1.5.1.3
